0
";2015-12-18 23:16;0;1;""Out of 654 State House employees 299 are from Kikuyu community  98 are Kalenjins (face of Kenya under Jubilee regime). Our taxes r mismanagd"";;;;""677945633689509888"";https://twitter.com/ItsWycliffeKe/status/677945633689509888       "
";2015-12-18 10:00;0;0;""@ShikuStar but kalenjins are damn good breed of wiminz aki"";;@ShikuStar;;""677745328146239488"";https://twitter.com/Malloy_Bryan/status/677745328146239488        "
";2015-12-18 08:06;0;1;""The political elite are in desperation. Ordinary kalenjins are suspicious of kikuyu community https:// twitter.com/TheStarKenya/s tatus/677715528484524032 …"";;;;""677716539941003264"";https://twitter.com/Asamoh_/status/677716539941003264        "
";2015-12-17 09:56;0;0;""Over 60% of Govt Employees at State House are Kikuyus and Kalenjins .If you belong to the other 40 tribes and voted for Uhuru You're STUPID!"";;;;""677381782455656449"";https://twitter.com/Nkaate/status/677381782455656449       "
";2015-12-17 09:30;0;0;""15% of State House Staff are Kalenjins - Public Service Commission (PSC) Report"";;;;""677375368215568384"";https://twitter.com/MuthokaTito/status/677375368215568384        "
";2015-12-16 20:40;1;0;""@makaumutua @BD_Africa h. kamau they should only occupy a % of numbers represented. Kikuyus 6m so are Luyhas  kalenjins 4m so r luos n kamba"";;@makaumutua @BD_Africa;;""677181583078633472"";https://twitter.com/judy2mao/status/677181583078633472       "
";2015-12-16 19:55;0;0;""@kega_qegx @m_oush it won't be easy. Kalenjins are suspicious about the kikuyu community. Talk to people boss"";;@kega_qegx @m_oush;;""677170202279288834"";https://twitter.com/Asamoh_/status/677170202279288834        "
";2015-12-16 17:43;1;0;""@KinyanBoy @solo_ambuku @Asamoh_ @WilliamsRuto There are 54 Kikuyus  54 Kalenjins and 54 Luhyas working in Mr Ruto’s office. #WeAreOne"";;@KinyanBoy @solo_ambuku @Asamoh_ @WilliamsRuto;#WeAreOne;""677137049565052928"";https://twitter.com/WilliamOnoka/status/677137049565052928       "
";2015-12-16 11:22;1;0;""@Miss_Patriciah so u are a hybrid   hehe  kalenjins are just adorable"";;@Miss_Patriciah;;""677041181956644864"";https://twitter.com/Malloy_Bryan/status/677041181956644864      "
";2015-12-16 10:40;0;0;""Yup. We are the best. "" @Malloy_Bryan : Kalenjins make the best wives n very loyal af   this others are just Guarana baggages """";;@Malloy_Bryan;;""677030481498644480"";https://twitter.com/Miss_Patriciah/status/677030481498644480       "
";2015-12-16 10:32;1;0;""Kalenjins make the best wives n very loyal af   this others are just Guarana baggages"";;;;""677028522783805440"";https://twitter.com/Malloy_Bryan/status/677028522783805440       "
";2015-12-16 09:00;1;0;""Deputy President's office of the 310 jobs there are 54 Kikuyus  54 Kalenjins and 54 Luhyas working in Mr Ruto’s office slightly dif from OP"";;;;""677005478585569280"";https://twitter.com/KinyanBoy/status/677005478585569280    "
";2015-12-16 08:55;1;0;""REPORT: 297 of the 654 employees or 45.4% of State House are Kikuyus 96 of the employees or 15% are Kalenjins"";;;;""677004122768437248"";https://twitter.com/KinyanBoy/status/677004122768437248       "
";2015-12-16 05:22;0;0;""Maasais and kalenjins are some very cool/chilled people as well....might look to marry one"";;;;""676950620654477315"";https://twitter.com/JustJuliiee_/status/676950620654477315        "
";2015-12-14 13:07;2;0;""@Steve_kewa how come KALENJINS are not passionate about this #Eurobond like they were on #Waiguru ? @RailaOdinga"";;@Steve_kewa @RailaOdinga;#Eurobond #Waiguru;""676342819695497216"";https://twitter.com/Disembe/status/676342819695497216        "
";2015-12-14 11:36;0;0;""Kalenjins are yearning for Change. They've realized someone is a conman pic.twitter.com/oowNKGOxDM"";;;;""676319838982291457"";https://twitter.com/WalterAtito/status/676319838982291457        "
";2015-12-14 10:30;1;0;""The most corrupt characters in the #Jubilee regime are the Kalenjins   of course with the @WilliamsRuto taking the lead."";;@WilliamsRuto;#Jubilee;""676303350699302912"";https://twitter.com/1stDarwin/status/676303350699302912       "
";2015-12-14 10:22;1;1;""Very sad. Kenyans must now re-evaluate their political stand"" @Bgm254 : These folks are giving the Kalenjins a bad name. @aridha_a @ikeojuok """";;@Bgm254 @aridha_a @ikeojuok;;""676301192985772032"";https://twitter.com/1stDarwin/status/676301192985772032        "
";2015-12-14 10:20;0;0;""These folks are giving the Kalenjins a bad name. @aridha_a @ikeojuok"";;@aridha_a @ikeojuok;;""676300656773328896"";https://twitter.com/Bgm254/status/676300656773328896        "
";2015-12-14 09:51;0;0;""Komen Es-Key Even if Kalenjins are in Uganda  why would DP Ruto go campaign for a dictatorial candidate? Unless... http:// fb.me/7wOCnxDWW"";;;;""676293325578571776"";https://twitter.com/MuthuiMkenya/status/676293325578571776       "
";2015-12-13 18:42;0;0;""@KinyanBoy kalenjins are 4.95 M just a difference of 300k with Luhyas"";;@KinyanBoy;;""676064691240706048"";https://twitter.com/EdgarKimutai/status/676064691240706048        "
";2015-12-13 17:56;43;17;""Even if Kalenjins are in Uganda why would DP Ruto go campaign for a dictatorial candidate? Unless they belong to the same school of thought!"";;;;""676053133794156544"";https://twitter.com/skkomen/status/676053133794156544       "
";2015-12-13 16:42;0;0;""jamaicans are like kalenjins  ama nko wrong?"";;;;""676034402242179072"";https://twitter.com/sighmoh1/status/676034402242179072       "
";2015-12-11 15:09;0;0;""@kipmurkomen Majority of RIGHT thinking kenyans are asking questions that Raila is asking including Kalenjins"";;@kipmurkomen;;""675286280867962881"";https://twitter.com/wahenrys/status/675286280867962881        "
