0
";2018-05-09 15:16;0;5;""Shhh! Tuachie hawa Cc @ItsBravin @EKmwanzo"";;@ItsBravin @EKmwanzo;;""994189479203221506"";https://twitter.com/Kwale_Gooner/status/994189479203221506        "
";2018-05-09 15:16;0;0;""He has no brain"";;;;""994189239171633152"";https://twitter.com/ennyandambi/status/994189239171633152        "
";2018-05-09 15:15;5;34;""You are that famous  l also hated you but I realised that everything you say turns out to be true"";;;;""994189180010934272"";https://twitter.com/QimSteve/status/994189180010934272       "
";2018-05-09 15:15;0;1;""Le President tell them!You ar a Senior Blogger not a crap like them."";;;;""994189031729717248"";https://twitter.com/samdive3/status/994189031729717248        "
";2018-05-09 15:15;0;0;""There is one media station that tells the truth  and breaks the news in real time not anywhere else but @C_NyaKundiH  you don't like it because he spots the dirt on your favorite 'thief' politician. #Nyakunditruths"";;@C_NyaKundiH;#Nyakunditruths;""994189026742734853"";https://twitter.com/owouronyango/status/994189026742734853      "
";2018-05-09 15:14;0;2;""Ahaha.....just like your brag"";;;;""994188968856973314"";https://twitter.com/XinArum/status/994188968856973314        "
";2018-05-09 15:14;0;0;""@C_NyaKundiH ni Simba marara si malala #NyakundiTruths"";;@C_NyaKundiH;#NyakundiTruths;""994188943812972544"";https://twitter.com/ErastusPunk/status/994188943812972544        "
";2018-05-09 15:14;2;20;""Niggas trolling their role model. funny though."";;;;""994188829010604032"";https://twitter.com/gideon_cfc/status/994188829010604032        "
";2018-05-09 15:13;0;0;""Hapa iko shida.... Shida kubwa @MboyaApollo @C_NyaKundiH https:// twitter.com/VKapeen/status /993835494533402625 …"";;@MboyaApollo @C_NyaKundiH;;""994188593856942086"";https://twitter.com/kiztv7/status/994188593856942086        "
";2018-05-09 15:13;0;1;""finally someone spoke"";;;;""994188547367358465"";https://twitter.com/DJattani/status/994188547367358465        "
