0
";2017-05-02 10:49;1;0;""'Change is coming' They'll deny vast tracts of land one day ** #FagiaWote #CostOfLivingKe"";;;#FagiaWote #CostOfLivingKe;""859313878106202112"";https://twitter.com/MwicigiKamotho/status/859313878106202112       "
";2017-05-02 08:39;3;0;""#FagiaWote na si tafadhali @KbcRadioTaifa @bonniemusambi @cynthy_anyango #ZingaKBC #ZingaKBC #ZingaKBC #ZingaKBC #ZingaKBC"";;@KbcRadioTaifa @bonniemusambi @cynthy_anyango;#FagiaWote #ZingaKBC #ZingaKBC #ZingaKBC #ZingaKBC #ZingaKBC;""859281048508792832"";https://twitter.com/Manu_maosa/status/859281048508792832        "
";2017-05-02 06:01;0;0;""#FagiaWote is real  huruma ward mca Owera out  ngei ward mca Dan Ndambuki out  both odm."";;;#FagiaWote;""859241526752403456"";https://twitter.com/allano_j/status/859241526752403456     "
";2017-05-02 00:41;0;0;""Looters will go home #FagiaWote https:// twitter.com/CollinsBriche/ status/859084414025945089 …"";;;#FagiaWote;""859160984304398336"";https://twitter.com/Ruitai23/status/859160984304398336        "
";2017-05-02 00:23;1;1;""I can imagine a kenyan whose Mp is Babu owino  governor is Sonko n women rep is Shebesh #FagiaWote"";;;#FagiaWote;""859156438832349185"";https://twitter.com/mwangi_franc/status/859156438832349185       "
";2017-05-01 23:22;0;0;""Non-perfomers must be given one-way tickets home. #Fagiawote"";;;#Fagiawote;""859140960898383874"";https://twitter.com/AwuorOndeng/status/859140960898383874        "
";2017-05-01 21:32;0;0;""Eish this is not even #FagiaWote https:// twitter.com/NationBreaking /status/858925585602666496 …"";;;#FagiaWote;""859113428534906882"";https://twitter.com/Wangalla/status/859113428534906882        "
";2017-05-01 21:02;1;0;""2017 election is a choice between a proven failure & a potential success #CostOfLivingKe #fagiawote"";;;#CostOfLivingKe #fagiawote;""859105843006066691"";https://twitter.com/ODEDEYONAH/status/859105843006066691        "
";2017-05-01 20:45;0;1;""But we have peace #fagiawote https:// twitter.com/nyandiga001/st atus/858967964997083141 …"";;;#fagiawote;""859101541202100224"";https://twitter.com/bonyomwongela/status/859101541202100224        "
";2017-05-01 20:05;0;0;""There is no second term. #FagiaWote Uhuru Kenyatta and William Ruto begin parking. #CostOfLivingKe"";;;#FagiaWote #CostOfLivingKe;""859091355666186240"";https://twitter.com/Gmmunyoki/status/859091355666186240        "
